Filename,Excerpts from DFIR Report,LogSource and Detection
proc_creation_win_schtasks_appdata_local_system.yml,"Based on referenced DFIR report URLs, Qbot threat actors created scheduled tasks that execute files from C:\Users\<USER>\AppData\Local directories with SYSTEM privileges. These tasks were used for persistence and to execute malicious payloads from user profile directories, often with elevated permissions to maintain access and execute additional malicious activities.","logsource:
    product: windows
    category: process_creation
detection:
    selection:
        Image|endswith: '\schtasks.exe'
        CommandLine|contains|all:
            - '/Create'
            - '/RU'
            - '/TR'
            - 'C:\Users\'
            - '\AppData\Local\'
        CommandLine|contains:
            - 'NT AUT'
            - ' SYSTEM '
    filter:
        ParentImage|contains|all:
            - '\AppData\Local\Temp\'
            - 'TeamViewer_.exe'
        Image|endswith: '\schtasks.exe'
        CommandLine|contains: '/TN TVInstallRestore'
    condition: selection and not filter"
proc_creation_win_schtasks_disable.yml,"Threat actors used batch scripts (fed1.bat, fed2.bat, fed3.bat) to disable WMI Autologger sessions for Defender, stop Defender services, remove Defender from startup and context menus, and disable Defender scheduled tasks. This was part of their defense evasion strategy where adversaries stop services or processes by disabling their respective scheduled tasks in order to conduct data destructive activities. The scripts appeared to be lifted from an existing source for defense evasion.","logsource:
    category: process_creation
    product: windows
detection:
    selection:
        Image|endswith: '\schtasks.exe'
        CommandLine|contains|all:
            - '/Change'
            - '/TN'
            - '/disable'
        CommandLine|contains:
            - '\Windows\BitLocker'
            - '\Windows\ExploitGuard'
            - '\Windows\ExploitGuard\ExploitGuard MDM policy Refresh'
            - '\Windows\SystemRestore\SR'
            - '\Windows\UpdateOrchestrator\'
            - '\Windows\Windows Defender\'
            - '\Windows\WindowsBackup\'
            - '\Windows\WindowsUpdate\'
    condition: selection"
proc_creation_win_schtasks_guid_task_name.yml,"Threat actors created scheduled tasks with GUID-like names as part of their persistence strategy. Examples from DFIR reports include tasks named with GUIDs like {97F2F70B-10D1-4447-A2F3-9B070C86E261} which executed PowerShell commands to decode and execute base64 encoded payloads stored in the registry. This technique helps blend malicious tasks with legitimate system tasks that sometimes use GUID naming conventions.","logsource:
    product: windows
    category: process_creation
detection:
    selection_img:
        Image|endswith: '\schtasks.exe'
        CommandLine|contains: '/Create '
    selection_tn:
        CommandLine|contains:
            - '/TN ""{'
            - ""/TN '{"
            - ""/TN {"
    selection_end:
        CommandLine|contains:
            - '}""'
            - ""}'"
            - '} '
    condition: all of selection_*"
proc_creation_win_schtasks_openssh_tunnelling.yml,"From referenced DFIR report, threat actors potentially used SSH tunneling for persistence and command and control. They likely created scheduled tasks that call OpenSSH tools (sshd.exe or ssh.exe) to establish reverse SSH tunnels to attacker servers, providing persistent remote access and bypassing network security controls.","logsource:
    product: windows
    category: process_creation
detection:
    selection_img:
        - Image|endswith: '\schtasks.exe'
        - OriginalFileName: 'schtasks.exe'
    selection_cli_sshd:
        CommandLine|contains|all:
            - ' /create '
            - 'sshd.exe'
            - '-f'
    selection_cli_ssh:
        CommandLine|contains|all:
            - ' /create '
            - 'ssh.exe'
            - '-i'
    condition: selection_img and 1 of selection_cli_*"
proc_creation_win_schtasks_reg_loader_encoded.yml,"Threat actors created a scheduled task with a GUID name {97F2F70B-10D1-4447-A2F3-9B070C86E261} that executed a PowerShell command: cmd /c start /min \"\" powershell.exe -Command IEX([System.Text.Encoding]::ASCII.GetString([System.Convert]::FromBase64String((Get-ItemProperty -Path HKCU:\SOFTWARE\Pvoeooxf).yzbbvhhdypa))). This task executed every 30 minutes and decoded base64 encoded payload stored in the Windows Registry using PowerShell for persistence and payload execution.","logsource:
    product: windows
    category: process_creation
detection:
    selection_img:
        - Image|endswith: '\schtasks.exe'
        - OriginalFileName: 'schtasks.exe'
    selection_cli_create:
        CommandLine|contains: '/Create'
    selection_cli_encoding:
        CommandLine|contains:
            - 'FromBase64String'
            - 'encodedcommand'
    selection_cli_get:
        CommandLine|contains:
            - 'Get-ItemProperty'
            - ' gp '
    selection_cli_hive:
        CommandLine|contains:
            - 'HKCU:'
            - 'HKLM:'
